2021-12-22/21:14:14		 wafer_16012020_051629.csv: File Transformed successfully!!
2021-12-22/21:14:14		 wafer_20022020_090716.csv: File Transformed successfully!!
2021-12-22/21:14:14		 wafer_21012020_080913.csv: File Transformed successfully!!
2021-12-22/21:14:15		 wafer_23012020_041211.csv: File Transformed successfully!!
2021-12-22/21:14:15		 wafer_27012020_080911.csv: File Transformed successfully!!
2021-12-22/21:14:15		 wafer_28012020_090817.csv: File Transformed successfully!!
2021-12-22/21:14:16		 wafer_28042020_031911.csv: File Transformed successfully!!
2021-12-22/21:14:16		 wafer_29012020_050617.csv: File Transformed successfully!!
2022-01-21/23:08:10		 wafer_13012020_090817.csv: File Transformed successfully!!
2022-01-21/23:08:11		 wafer_16012020_051629.csv: File Transformed successfully!!
2022-01-21/23:08:11		 wafer_20022020_090716.csv: File Transformed successfully!!
2022-01-21/23:08:11		 wafer_21012020_080913.csv: File Transformed successfully!!
2022-01-21/23:08:13		 wafer_23012020_041211.csv: File Transformed successfully!!
2022-01-21/23:08:13		 wafer_27012020_080911.csv: File Transformed successfully!!
2022-01-21/23:08:14		 wafer_28012020_090817.csv: File Transformed successfully!!
2022-01-21/23:08:15		 wafer_28042020_031911.csv: File Transformed successfully!!
2022-01-21/23:08:15		 wafer_29012020_050617.csv: File Transformed successfully!!
2022-01-22/20:46:25		 wafer_13012020_090817.csv: File Transformed successfully!!
2022-01-22/20:46:25		 wafer_16012020_051629.csv: File Transformed successfully!!
2022-01-22/20:46:25		 wafer_20022020_090716.csv: File Transformed successfully!!
2022-01-22/20:46:26		 wafer_21012020_080913.csv: File Transformed successfully!!
2022-01-22/20:46:26		 wafer_23012020_041211.csv: File Transformed successfully!!
2022-01-22/20:46:27		 wafer_27012020_080911.csv: File Transformed successfully!!
2022-01-22/20:46:27		 wafer_28012020_090817.csv: File Transformed successfully!!
2022-01-22/20:46:28		 wafer_28042020_031911.csv: File Transformed successfully!!
2022-01-22/20:46:28		 wafer_29012020_050617.csv: File Transformed successfully!!
2022-01-22/20:51:21		 wafer_13012020_090817.csv: File Transformed successfully!!
2022-01-22/20:51:22		 wafer_16012020_051629.csv: File Transformed successfully!!
2022-01-22/20:51:22		 wafer_20022020_090716.csv: File Transformed successfully!!
2022-01-22/20:51:22		 wafer_21012020_080913.csv: File Transformed successfully!!
2022-01-22/20:51:23		 wafer_23012020_041211.csv: File Transformed successfully!!
2022-01-22/20:51:23		 wafer_27012020_080911.csv: File Transformed successfully!!
2022-01-22/20:51:24		 wafer_28012020_090817.csv: File Transformed successfully!!
2022-01-22/20:51:25		 wafer_28042020_031911.csv: File Transformed successfully!!
